,issue_date_year,zip_code,permit_type,permit_issue_count
0,2006,60601.0,PERMIT - EASY PERMIT PROCESS,55
1,2006,60601.0,PERMIT - ELECTRIC WIRING,457
2,2006,60601.0,PERMIT - ELEVATOR EQUIPMENT,23
3,2006,60601.0,PERMIT - NEW CONSTRUCTION,37
4,2006,60601.0,PERMIT - REINSTATE REVOKED PMT,0
5,2006,60601.0,PERMIT - RENOVATION/ALTERATION,199
6,2006,60601.0,PERMIT - SCAFFOLDING,37
7,2006,60601.0,PERMIT - SIGNS,34
8,2006,60601.0,PERMIT - WRECKING/DEMOLITION,6
9,2006,60602.0,PERMIT - EASY PERMIT PROCESS,25
10,2006,60602.0,PERMIT - ELECTRIC WIRING,262
11,2006,60602.0,PERMIT - ELEVATOR EQUIPMENT,8
12,2006,60602.0,PERMIT - NEW CONSTRUCTION,17
13,2006,60602.0,PERMIT - REINSTATE REVOKED PMT,0
14,2006,60602.0,PERMIT - RENOVATION/ALTERATION,120
15,2006,60602.0,PERMIT - SCAFFOLDING,19
16,2006,60602.0,PERMIT - SIGNS,83
17,2006,60602.0,PERMIT - WRECKING/DEMOLITION,3
18,2006,60603.0,PERMIT - EASY PERMIT PROCESS,23
19,2006,60603.0,PERMIT - ELECTRIC WIRING,358
20,2006,60603.0,PERMIT - ELEVATOR EQUIPMENT,13
21,2006,60603.0,PERMIT - NEW CONSTRUCTION,10
22,2006,60603.0,PERMIT - RENOVATION/ALTERATION,172
23,2006,60603.0,PERMIT - SCAFFOLDING,23
24,2006,60603.0,PERMIT - SIGNS,62
25,2006,60604.0,PERMIT - EASY PERMIT PROCESS,13
26,2006,60604.0,PERMIT - ELECTRIC WIRING,245
27,2006,60604.0,PERMIT - ELEVATOR EQUIPMENT,10
28,2006,60604.0,PERMIT - NEW CONSTRUCTION,2
29,2006,60604.0,PERMIT - REINSTATE REVOKED PMT,0
30,2006,60604.0,PERMIT - RENOVATION/ALTERATION,70
31,2006,60604.0,PERMIT - SCAFFOLDING,11
32,2006,60604.0,PERMIT - SIGNS,11
33,2006,60605.0,PERMIT - EASY PERMIT PROCESS,54
34,2006,60605.0,PERMIT - ELECTRIC WIRING,208
35,2006,60605.0,PERMIT - ELEVATOR EQUIPMENT,23
36,2006,60605.0,PERMIT - FOR EXTENSION OF PMT,1
37,2006,60605.0,PERMIT - NEW CONSTRUCTION,68
38,2006,60605.0,PERMIT - PORCH CONSTRUCTION,1
39,2006,60605.0,PERMIT - REINSTATE REVOKED PMT,0
40,2006,60605.0,PERMIT - RENOVATION/ALTERATION,101
41,2006,60605.0,PERMIT - SCAFFOLDING,45
42,2006,60605.0,PERMIT - SIGNS,45
43,2006,60605.0,PERMIT - WRECKING/DEMOLITION,9
44,2006,60606.0,PERMIT - EASY PERMIT PROCESS,43
45,2006,60606.0,PERMIT - ELECTRIC WIRING,670
46,2006,60606.0,PERMIT - ELEVATOR EQUIPMENT,24
47,2006,60606.0,PERMIT - NEW CONSTRUCTION,7
48,2006,60606.0,PERMIT - RENOVATION/ALTERATION,410
49,2006,60606.0,PERMIT - SCAFFOLDING,35
50,2006,60606.0,PERMIT - SIGNS,66
51,2006,60607.0,PERMIT - EASY PERMIT PROCESS,100
52,2006,60607.0,PERMIT - ELECTRIC WIRING,259
53,2006,60607.0,PERMIT - ELEVATOR EQUIPMENT,52
54,2006,60607.0,PERMIT - NEW CONSTRUCTION,95
55,2006,60607.0,PERMIT - PORCH CONSTRUCTION,5
56,2006,60607.0,PERMIT - REINSTATE REVOKED PMT,0
57,2006,60607.0,PERMIT - RENOVATION/ALTERATION,143
58,2006,60607.0,PERMIT - SCAFFOLDING,35
59,2006,60607.0,PERMIT - SIGNS,77
60,2006,60607.0,PERMIT - WRECKING/DEMOLITION,17
61,2006,60608.0,PERMIT - EASY PERMIT PROCESS,322
62,2006,60608.0,PERMIT - ELECTRIC WIRING,297
63,2006,60608.0,PERMIT - ELEVATOR EQUIPMENT,39
64,2006,60608.0,PERMIT - NEW CONSTRUCTION,147
65,2006,60608.0,PERMIT - PORCH CONSTRUCTION,61
66,2006,60608.0,PERMIT - REINSTATE REVOKED PMT,0
67,2006,60608.0,PERMIT - RENOVATION/ALTERATION,160
68,2006,60608.0,PERMIT - SCAFFOLDING,1
69,2006,60608.0,PERMIT - SIGNS,84
70,2006,60608.0,PERMIT - WRECKING/DEMOLITION,56
71,2006,60609.0,PERMIT - EASY PERMIT PROCESS,315
72,2006,60609.0,PERMIT - ELECTRIC WIRING,355
73,2006,60609.0,PERMIT - ELEVATOR EQUIPMENT,18
74,2006,60609.0,PERMIT - NEW CONSTRUCTION,168
75,2006,60609.0,PERMIT - PORCH CONSTRUCTION,65
76,2006,60609.0,PERMIT - RENOVATION/ALTERATION,126
77,2006,60609.0,PERMIT - SCAFFOLDING,2
78,2006,60609.0,PERMIT - SIGNS,35
79,2006,60609.0,PERMIT - WRECKING/DEMOLITION,37
80,2006,60610.0,PERMIT - EASY PERMIT PROCESS,125
81,2006,60610.0,PERMIT - ELECTRIC WIRING,149
82,2006,60610.0,PERMIT - ELEVATOR EQUIPMENT,30
83,2006,60610.0,PERMIT - NEW CONSTRUCTION,32
84,2006,60610.0,PERMIT - PORCH CONSTRUCTION,3
85,2006,60610.0,PERMIT - REINSTATE REVOKED PMT,0
86,2006,60610.0,PERMIT - RENOVATION/ALTERATION,150
87,2006,60610.0,PERMIT - SCAFFOLDING,59
88,2006,60610.0,PERMIT - SIGNS,54
89,2006,60610.0,PERMIT - WRECKING/DEMOLITION,14
90,2006,60611.0,PERMIT - EASY PERMIT PROCESS,162
91,2006,60611.0,PERMIT - ELECTRIC WIRING,707
92,2006,60611.0,PERMIT - ELEVATOR EQUIPMENT,65
93,2006,60611.0,PERMIT - NEW CONSTRUCTION,44
94,2006,60611.0,PERMIT - REINSTATE REVOKED PMT,0
95,2006,60611.0,PERMIT - RENOVATION/ALTERATION,330
96,2006,60611.0,PERMIT - SCAFFOLDING,88
97,2006,60611.0,PERMIT - SIGNS,111
